depth, CV_SCORE, TRAIN_SCORE, TEST_SCORE
1, 0.44344027281850024, 0.44484375, 0.424375
2, 0.5868787430878287, 0.590625, 0.574375
3, 0.5882838953126531, 0.59171875, 0.57875
4, 0.5896897808069136, 0.6, 0.57875
5, 0.5910902424144776, 0.60765625, 0.594375
6, 0.5973424679698714, 0.6165625, 0.595625
7, 0.5903078431021087, 0.62859375, 0.594375
8, 0.5854632572845896, 0.64609375, 0.586875
9, 0.5773381559487053, 0.66640625, 0.59125
10, 0.5684332180355894, 0.68859375, 0.581875
11, 0.5598407606027326, 0.71390625, 0.574375
12, 0.5503069861951646, 0.74453125, 0.551875
13, 0.5423442403186283, 0.7759375, 0.5575
14, 0.5353047780973204, 0.80640625, 0.543125
15, 0.5295267998884435, 0.83953125, 0.5425
16, 0.5292159347432802, 0.86828125, 0.535625
17, 0.5156239365342263, 0.8934375, 0.52625
18, 0.5120310141097386, 0.91390625, 0.530625
19, 0.5092144826377102, 0.9328125, 0.52
20, 0.506089211842703, 0.9446875, 0.51875
21, 0.5015582766878317, 0.95828125, 0.520625
22, 0.49984182034495267, 0.9675, 0.52125
23, 0.49859162431476917, 0.97390625, 0.51375
24, 0.5009368415180253, 0.979375, 0.506875
25, 0.502497023099639, 0.98203125, 0.51
26, 0.5028111838373882, 0.984375, 0.51125
27, 0.5018740490527871, 0.98734375, 0.511875
28, 0.4960880809261748, 0.9896875, 0.511875
29, 0.4992149654083267, 0.9921875, 0.51375
30, 0.4995281738021818, 0.99484375, 0.504375
31, 0.4976531713755314, 0.996875, 0.515
32, 0.5006201159852003, 0.99859375, 0.506875
33, 0.500155322623365, 0.99890625, 0.51125
34, 0.5010901125113235, 0.99984375, 0.49875
35, 0.49624809354881866, 1.0, 0.5075
36, 0.49828127336458405, 1.0, 0.5025
37, 0.49905744400662244, 1.0, 0.508125
38, 0.4981205311803933, 1.0, 0.503125
39, 0.4995270738980276, 1.0, 0.505625
40, 0.4995268531756189, 1.0, 0.50375
41, 0.49952802665390933, 1.0, 0.509375
42, 0.49577963631172867, 1.0, 0.500625
43, 0.5001537118201341, 1.0, 0.505
44, 0.5009346429456799, 1.0, 0.506875
45, 0.49874504286832755, 1.0, 0.504375
46, 0.49921584376609696, 1.0, 0.508125
47, 0.49906015553798305, 1.0, 0.49625
48, 0.49749755672155377, 1.0, 0.500625
49, 0.4968731909459289, 1.0, 0.5025
50, 0.4979669658905501, 1.0, 0.500625
51, 0.4978155280708423, 1.0, 0.500625
52, 0.4968712130959922, 1.0, 0.50125
53, 0.49609079245753546, 1.0, 0.504375
54, 0.4985900854377237, 1.0, 0.506875
55, 0.5020302506519038, 1.0, 0.509375
56, 0.49687275156105, 1.0, 0.50625
57, 0.4984355702759126, 1.0, 0.503125
58, 0.49733805870587583, 1.0, 0.500625
59, 0.4989057123023575, 1.0, 0.505
60, 0.49374792097489717, 1.0, 0.50875
61, 0.49984138178404924, 1.0, 0.495
62, 0.4996856195698114, 1.0, 0.501875
63, 0.49687465707281353, 1.0, 0.515625
64, 0.4992183341630611, 1.0, 0.50375
65, 0.4987478255018982, 1.0, 0.51
66, 0.5006182840475731, 1.0, 0.50625
67, 0.4998394039341125, 1.0, 0.51
68, 0.4943719201158039, 1.0, 0.50125
69, 0.49890410108713884, 1.0, 0.504375
70, 0.5003058085111665, 1.0, 0.51125
71, 0.4982805409191233, 1.0, 0.504375
72, 0.4987486323454706, 1.0, 0.51
73, 0.49937358424225914, 1.0, 0.513125
74, 0.5004646476555198, 1.0, 0.506875
75, 0.4959353245398425, 1.0, 0.511875
76, 0.49718662006219266, 1.0, 0.500625
77, 0.5035880873368751, 1.0, 0.504375
78, 0.49640400043940275, 1.0, 0.509375
79, 0.5001525395778067, 1.0, 0.503125
80, 0.49999707001216304, 1.0, 0.500625
81, 0.49921708875858517, 1.0, 0.50875
82, 0.5020294446323068, 1.0, 0.505
83, 0.49968459488774414, 1.0, 0.508125
84, 0.49749682468808065, 1.0, 0.49875
85, 0.498589500552523, 1.0, 0.51
86, 0.496245747416213, 1.0, 0.505
87, 0.5009338385740336, 1.0, 0.504375
88, 0.4948416219333944, 1.0, 0.506875
89, 0.5014058125381058, 1.0, 0.506875
90, 0.4968734108443622, 1.0, 0.5025
91, 0.49672021383718795, 1.0, 0.5075
92, 0.4992183349870365, 1.0, 0.5
93, 0.49874467499764635, 1.0, 0.5075
94, 0.5009336914257612, 1.0, 0.505
95, 0.5024963638163267, 1.0, 0.5025
96, 0.5009358887621435, 1.0, 0.50375
97, 0.49999545797296907, 1.0, 0.506875
98, 0.49952758685704274, 1.0, 0.505
99, 0.4970308578479548, 1.0, 0.513125
100, 0.49593385841295784, 1.0, 0.5025
