neurons, CV_SCORE, TRAIN_SCORE, TEST_SCORE
1, 0.2854692344784087, 0.28546875, 0.27625
2, 0.2854692344784087, 0.28546875, 0.27625
3, 0.28875048447840873, 0.28546875, 0.27625
4, 0.286561278160156, 0.28546875, 0.27625
5, 0.2878030229357816, 0.28546875, 0.27625
6, 0.28687110363728724, 0.28546875, 0.27625
7, 0.2854692344784087, 0.28546875, 0.27625
8, 0.2854692344784087, 0.28546875, 0.27625
9, 0.2854692344784087, 0.285625, 0.276875
10, 0.2854692344784087, 0.28546875, 0.27625
11, 0.28640381391766107, 0.28546875, 0.27625
12, 0.2901445654752935, 0.28546875, 0.27625
13, 0.2881213405626521, 0.28546875, 0.27625
14, 0.2889175103404777, 0.28546875, 0.27625
15, 0.2878166523187843, 0.28546875, 0.27625
16, 0.29109790231878424, 0.28546875, 0.27625
17, 0.29015390772562366, 0.28546875, 0.27625
18, 0.28922510302300963, 0.28546875, 0.27625
19, 0.28828467334988206, 0.28546875, 0.27625
20, 0.2890462173710992, 0.28546875, 0.27625
21, 0.2854692344784087, 0.28546875, 0.27625
22, 0.28951569637576485, 0.32265625, 0.32375
23, 0.2876465284130899, 0.28546875, 0.27625
24, 0.2876465284130899, 0.28546875, 0.27625
25, 0.2893938812601983, 0.28546875, 0.27625
26, 0.29078248101292103, 0.28546875, 0.27625
27, 0.2854692344784087, 0.28546875, 0.27625
28, 0.2901545474644118, 0.32203125, 0.325
29, 0.28641114970603826, 0.28546875, 0.27625
30, 0.2943865569339906, 0.28546875, 0.27625
31, 0.30746594279163175, 0.28546875, 0.27625
32, 0.28594019209222343, 0.30296875, 0.293125
33, 0.2946675276437802, 0.31484375, 0.31625
34, 0.2854692344784087, 0.28546875, 0.27625
35, 0.2854692344784087, 0.28546875, 0.27625
36, 0.29343798447840874, 0.3275, 0.315625
37, 0.29264553899554263, 0.28546875, 0.27625
38, 0.29299178123636793, 0.28546875, 0.27625
39, 0.2854692344784087, 0.28546875, 0.27625
40, 0.28890673447840876, 0.3096875, 0.30125
41, 0.2912388022354181, 0.32171875, 0.325625
42, 0.28938528071665326, 0.28546875, 0.27625
43, 0.29313257563646816, 0.28546875, 0.27625
44, 0.2928032492759165, 0.35109375, 0.34375
45, 0.29500048447840876, 0.28546875, 0.27625
46, 0.3044932804285645, 0.3115625, 0.305
47, 0.28624683945508056, 0.28546875, 0.27625
48, 0.2937413151689414, 0.28546875, 0.27625
49, 0.2889013717639001, 0.3775, 0.373125
50, 0.3122907429672053, 0.28546875, 0.27625
51, 0.3207715764793316, 0.28546875, 0.27625
52, 0.29326980543816294, 0.341875, 0.34125
53, 0.3016696439928053, 0.28546875, 0.27625
54, 0.2914039351920475, 0.28546875, 0.27625
55, 0.29420755223541806, 0.28546875, 0.27625
56, 0.2967344255681072, 0.28546875, 0.27625
57, 0.29734287967145084, 0.28546875, 0.27625
58, 0.29465636550969215, 0.28546875, 0.27625
59, 0.30449059451505317, 0.3146875, 0.3175
60, 0.30061189097528446, 0.285625, 0.27625
61, 0.2967405747452847, 0.28546875, 0.27625
62, 0.3007803884941979, 0.32125, 0.323125
63, 0.3150019722248711, 0.31421875, 0.304375
64, 0.29141630080493935, 0.28546875, 0.27625
65, 0.30250578213631907, 0.28546875, 0.27625
66, 0.3043907901896885, 0.28546875, 0.27625
67, 0.3010526607730846, 0.28546875, 0.27625
68, 0.30250397639683957, 0.3546875, 0.3475
69, 0.28876077052856547, 0.28546875, 0.27625
70, 0.31439734106217726, 0.28546875, 0.27625
71, 0.2975070865910848, 0.3434375, 0.324375
72, 0.29936065760557806, 0.43359375, 0.42625
73, 0.3139003130568479, 0.336875, 0.331875
74, 0.29751252054658617, 0.31625, 0.306875
75, 0.2896963059116273, 0.3165625, 0.315625
76, 0.3095190058499598, 0.31546875, 0.309375
77, 0.305595325790066, 0.31453125, 0.305
78, 0.29967143618149017, 0.28546875, 0.27625
79, 0.3252952957882601, 0.28546875, 0.27625
80, 0.291412358500318, 0.28546875, 0.27625
81, 0.33249568930692147, 0.28546875, 0.27625
82, 0.31732710237738276, 0.28546875, 0.27625
83, 0.3129403829660996, 0.3178125, 0.31
84, 0.30981435840639066, 0.28546875, 0.27625
85, 0.3217259089523709, 0.33109375, 0.320625
86, 0.317923978582846, 0.28546875, 0.27625
87, 0.3012522152107836, 0.28546875, 0.27625
88, 0.31342985698196596, 0.33, 0.315625
89, 0.3101299179960909, 0.315625, 0.30625
90, 0.292510786676211, 0.3096875, 0.303125
91, 0.30265489059743433, 0.34265625, 0.325625
92, 0.31310707751495254, 0.32, 0.318125
93, 0.3044932209904723, 0.28546875, 0.27625
94, 0.3143172281320225, 0.28546875, 0.27625
95, 0.29731046345257733, 0.32203125, 0.325
96, 0.3084367886037712, 0.28546875, 0.27625
97, 0.3132805146785137, 0.28546875, 0.27625
98, 0.30579533367191836, 0.42046875, 0.411875
99, 0.31656075591442207, 0.321875, 0.32375
100, 0.3132584826307955, 0.28546875, 0.27625
